"State","alcoholConsumptionGallons","alcoholConsumptionLiters","Pop"
"Utah","1.3400","5.0700",3221610
"West Virginia","1.7600","6.6600",1791951
"Arkansas","1.8000","6.8100",3026412
"Oklahoma","1.8800","7.1200",3948950
"Kansas","1.9200","7.2700",2910931
"Georgia","1.9400","7.3400",10627767
"Kentucky","1.9800","7.5000",4484047
"Alabama","2.0100","7.6100",4898246
"Ohio","2.0400","7.7200",11718568
"North Carolina","2.1300","8.0600",10497741
"Tennessee","2.1400","8.1000",6833793
"Virginia","2.1400","8.1000",8571946
"Maryland","2.1500","8.1400",6062917
"Indiana","2.1700","8.2100",6718616
"New York","2.2200","8.4000",19491339
"South Carolina","2.2200","8.4000",5147111
"Mississippi","2.2300","8.4400",2987895
"Nebraska","2.2300","8.4400",1940919
"Washington","2.2600","8.5600",7666343
"New Mexico","2.2700","8.5900",2096034
"Arizona","2.3100","8.7400",7275070
"Illinois","2.3200","8.7800",12700381
"California","2.3300","8.8200",39747267
"Michigan","2.3400","8.8600",10020472
"New Jersey","2.3400","8.8600",8922547
"Texas","2.3400","8.8600",29087070
"Pennsylvania","2.3600","8.9300",12813969
"Iowa","2.4000","9.0800",3167997
"Connecticut","2.4500","9.2700",3567871
"Missouri","2.4900","9.4300",6147861
"Massachusetts","2.5700","9.7300",6939373
"Rhode Island","2.5700","9.7300",1056738
"Louisiana","2.5900","9.8000",4652581
"Hawaii","2.6300","9.9600",1416589
"Florida","2.6500","10.0300",21646155
"Wyoming","2.6700","10.1100",572381
"Oregon","2.7500","10.4100",4245901
"Minnesota","2.7700","10.4900",5655925
"Colorado","2.8100","10.6400",5770545
"Maine","2.8100","10.6400",1342097
"South Dakota","2.8700","10.8600",892631
"Idaho","2.9200","11.0500",1790182
"Alaska","2.9400","11.1300",735720
"Wisconsin","2.9800","11.2800",5832661
"Vermont","3.0800","11.6600",627180
"Montana","3.1100","11.7700",1074532
"North Dakota","3.2600","12.3400",760900
"Nevada","3.4600","13.1000",3087025
"Delaware","3.7200","14.0800",975033
"District of Columbia","3.8500","14.5700",711571
"New Hampshire","4.7600","18.0200",1363852